"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"São Benedito do Sul","PE",88.9,66.7,50.33,29.56
"Wall Ferraz","PI",88.9,55.6,50.58,18.48
"Jericó","PB",100,77.8,49.01,40.73
"Nova Andradina","MS",92.3,84.6,49.87,47.56
"Piau","MG",88.9,88.9,52.45,51.92
"Jerônimo Monteiro","ES",77.8,88.9,48.64,51.92
"Encanto","RN",77.8,88.9,49.03,51.92
"Andrelândia","MG",88.9,100,49.83,63.02
"Castelo","ES",92.3,100,50.08,63.04
"Ibema","PR",100,100,50.05,63.06
"Rolim de Moura","RO",88.9,77.8,49.7,40.86
"Itamari","BA",100,55.6,51.07,18.68
"Chiador","MG",88.9,88.9,48.65,51.99
"Vargem Alta","ES",72.7,90.9,51.37,54
"Mesópolis","SP",77.8,100,50.74,63.1
"São Domingos do Maranhão","MA",69.2,61.5,50.3,24.6
"Goiana","PE",93.3,66.7,48.44,29.88
"Amontada","CE",100,61.5,51.89,24.68
"Santa Cruz da Vitória","BA",66.7,55.6,51.28,18.79
"Baturité","CE",61.5,61.5,49.21,24.71
"Santa Cruz de Minas","MG",100,88.9,49,52.14
"São João do Cariri","PB",100,77.8,48.8,41.05
"Perobal","PR",88.9,100,49.97,63.26
"Carmo da Cachoeira","MG",88.9,77.8,50.49,41.07
"Ilhabela","SP",77.8,88.9,50.82,52.18
"Severiano Melo","RN",100,77.8,49.81,41.08
"Carrasco Bonito","TO",88.9,55.6,52.03,18.93
"Reriutaba","CE",72.7,72.7,49.76,36.04
"São Francisco","SE",100,55.6,50.34,18.95
"Nova Tebas","PR",88.9,100,51.55,63.35
"Santa Rita do Pardo","MS",77.8,77.8,52.42,41.15
"Jussara","PR",88.9,100,49.32,63.36
"Manoel Ribas","PR",100,100,49.56,63.37
"Água Nova","RN",88.9,88.9,49.66,52.28
"Natividade","RJ",90.9,81.8,49.36,45.28
"Sacramento","MG",100,100,50.76,63.54
"Novo Horizonte do Oeste","RO",100,77.8,52.11,41.36
"Ponte Alta","SC",88.9,100,50.14,63.61
"Mato Rico","PR",77.8,100,53.14,63.62
"Caetanópolis","MG",66.7,66.7,50.06,30.34
"Vitória Brasil","SP",88.9,100,51.3,63.67
"Estrela do Indaiá","MG",77.8,88.9,50.31,52.62
"Itaguari","GO",88.9,77.8,50.43,41.55
"Espigão d'Oeste","RO",81.8,81.8,50.84,45.56
"Santa Rita de Ibitipoca","MG",100,88.9,51.52,52.67
"Boa Esperança","MG",92.3,92.3,50.04,56.09
"Carlos Chagas","MG",90.9,63.6,49.86,27.41
"Gurinhém","PB",88.9,66.7,49.88,30.51
